"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050001239","진제초등학교","02","공립","N","","3","55","18.3","3","56","18.7","4","74","18.5","4","100","25","4","87","21.8","4","84","21","0","0","0","0","0","0","22","456","20.7","28","16.3"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 광산구","S050001246","성덕초등학교","02","공립","N","","7","123","17.6","7","130","18.6","8","148","18.5","8","177","22.1","8","174","21.8","8","174","21.8","2","10","5","0","0","0","48","936","19.5","58","16.1"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 광산구","S050001276","선운초등학교","02","공립","N","","10","207","20.7","10","202","20.2","11","238","21.6","10","227","22.7","10","215","21.5","8","171","21.4","2","11","5.5","0","0","0","61","1271","20.8","71","17.9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050001285","신용초등학교","02","공립","N","","8","157","19.6","8","152","19","10","178","17.8","9","194","21.6","8","191","23.9","7","164","23.4","3","14","4.7","0","0","0","53","1050","19.8","62","16.9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050001287","건국초등학교","02","공립","N","","7","143","20.4","7","140","20","9","191","21.2","9","210","23.3","9","193","21.4","8","185","23.1","2","10","5","0","0","0","51","1072","21","60","17.9"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050001288","빛여울초등학교","02","공립","N","","6","139","23.2","8","183","22.9","8","202","25.3","8","194","24.3","8","182","22.8","6","147","24.5","1","4","4","0","0","0","45","1051","23.4","53","19.8"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050001289","효천초등학교","02","공립","N","","7","135","19.3","8","154","19.3","8","172","21.5","8","190","23.8","8","183","22.9","8","177","22.1","2","8","4","0","0","0","49","1019","20.8","57","17.9"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 광산구","S050001373","은빛초등학교","02","공립","N","","5","89","17.8","5","102","20.4","6","103","17.2","6","140","23.3","6","131","21.8","6","126","21","1","5","5","0","0","0","35","696","19.9","42","16.6"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 광산구","S050001416","새별초등학교","02","공립","N","","5","85","17","6","107","17.8","8","159","19.9","6","142","23.7","7","159","22.7","7","161","23","1","6","6","0","0","0","40","819","20.5","49","16.7"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050001440","광주북초등학교","02","공립","N","","1","8","8","1","8","8","1","15","15","1","7","7","1","11","11","1","13","13","1","4","4","0","0","0","7","66","9.4","9","7.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050001464","지한초등학교","02","공립","N","","5","81","16.2","5","88","17.6","5","80","16","4","87","21.8","4","73","18.3","3","66","22","1","5","5","0","0","0","27","480","17.8","33","14.5"
