"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"인천광역시교육청","인천광역시북부교육지원청","인천광역시 부평구","S040000888","한일초등학교","02","사립","N","","2","58","29","2","54","27","2","56","28","2","54","27","2","46","23","2","49","24.5","0","0","0","0","0","0","12","317","26.4","16","19.8"
"인천광역시교육청","인천광역시동부교육지원청","인천광역시 연수구","S040001041","인천축현초등학교","02","공립","N","","3","39","13","2","28","14","2","37","18.5","3","43","14.3","3","46","15.3","4","60","15","2","5","2.5","0","0","0","19","258","13.6","22","11.7"
"인천광역시교육청","인천광역시북부교육지원청","인천광역시 계양구","S040001385","인천계양초등학교상야분교장","02","공립","N","","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","4","4","0","0","0","4","6","1.5","4","1.5"
"인천광역시교육청","인천광역시남부교육지원청","인천광역시 옹진군","S040001386","인천남부초등학교이작분교장","02","공립","N","","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","2"
"인천광역시교육청","인천광역시남부교육지원청","인천광역시 옹진군","S040001466","인천용현남초등학교자월분교장","02","공립","N","","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","4","4","0","0","0","0","0","0","3","6","2","3","2"
"인천광역시교육청","인천광역시남부교육지원청","인천광역시 중구","S040001545","인천영종초등학교금산분교장","02","공립","N","","1","4","4","1","6","6","1","7","7","1","10","10","1","4","4","1","11","11","2","5","2.5","0","0","0","8","47","5.9","9","5.2"
"인천광역시교육청","인천광역시남부교육지원청","인천광역시 옹진군","S040001633","인천삼목초등학교장봉분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","2","2","1","2","1"
"인천광역시교육청","인천광역시동부교육지원청","인천광역시 연수구","S040001635","인천서면초등학교","02","공립","N","","2","55","27.5","3","55","18.3","3","73","24.3","3","71","23.7","3","71","23.7","3","67","22.3","2","8","4","0","0","0","19","400","21.1","22","18.2"
"인천광역시교육청","인천광역시남부교육지원청","인천광역시 옹진군","S040001664","인천공항초등학교신도분교장","02","공립","N","","0","0","0","1","3","3","1","4","4","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","3","9","3","3","3"
"인천광역시교육청","인천광역시동부교육지원청","인천광역시 남동구","S040001719","인천신월초등학교","02","공립","N","","2","31","15.5","2","26","13","2","29","14.5","2","40","20","2","37","18.5","2","51","25.5","2","9","4.5","0","0","0","14","223","15.9","19","11.7"
"인천광역시교육청","인천광역시동부교육지원청","인천광역시 남동구","S040001720","인천새말초등학교","02","공립","N","","2","46","23","2","42","21","3","66","22","3","65","21.7","3","58","19.3","4","70","17.5","2","11","5.5","0","0","0","19","358","18.8","23","15.6"
"인천광역시교육청","인천광역시동부교육지원청","인천광역시 남동구","S040001721","인천서창초등학교","02","공립","N","","4","94","23.5","4","95","23.8","5","124","24.8","6","130","21.7","6","151","25.2","5","125","25","3","16","5.3","0","0","0","33","735","22.3","38","19.3"
"인천광역시교육청","인천광역시남부교육지원청","인천광역시 중구","S040001725","인천삼목초등학교","02","공립","N","","3","56","18.7","3","67","22.3","3","66","22","4","88","22","5","99","19.8","4","91","22.8","3","14","4.7","0","0","0","25","481","19.2","29","16.6"
