"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"전라남도교육청","전라남도영암교육지원청","전라남도 영암군","S140001765","시종초등학교","02","공립","N","","1","8","8","1","4","4","1","14","14","1","8","8","1","10","10","1","4","4","0","0","0","0","0","0","6","48","8","7","6.9"
"전라남도교육청","전라남도영암교육지원청","전라남도 영암군","S140001769","신북초등학교","02","공립","N","","1","5","5","1","5","5","1","6","6","1","6","6","1","7","7","1","3","3","0","0","0","0","0","0","6","32","5.3","7","4.6"
"전라남도교육청","전라남도영암교육지원청","전라남도 영암군","S140001772","영암초등학교","02","공립","N","","2","38","19","3","45","15","3","58","19.3","4","63","15.8","3","66","22","3","66","22","1","6","6","0","0","0","19","342","18","23","14.9"
"전라남도교육청","전라남도영암교육지원청","전라남도 영암군","S140001773","용당초등학교","02","공립","N","","1","7","7","1","1","1","1","7","7","1","4","4","1","1","1","1","3","3","1","2","2","0","0","0","7","25","3.6","11","2.3"
"전라남도교육청","전라남도영암교육지원청","전라남도 영암군","S140001775","장천초등학교","02","공립","N","","1","3","3","1","4","4","0","0","0","1","5","5","1","6","6","1","4","4","0","0","0","0","0","0","5","22","4.4","6","3.7"
"전라남도교육청","전라남도영암교육지원청","전라남도 영암군","S140001777","학산초등학교","02","공립","N","","1","2","2","1","4","4","0","0","0","1","3","3","1","1","1","1","3","3","1","2","2","0","0","0","6","15","2.5","8","1.9"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001816","고금초등학교","02","공립","N","","1","13","13","1","12","12","1","18","18","1","13","13","1","18","18","1","19","19","1","6","6","0","0","0","7","99","14.1","8","12.4"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001824","군외초등학교","02","공립","N","","1","2","2","1","1","1","1","6","6","1","2","2","1","3","3","1","3","3","1","2","2","0","0","0","7","19","2.7","8","2.4"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001829","금당초등학교","02","공립","N","","1","1","1","1","6","6","1","1","1","1","5","5","1","8","8","1","2","2","1","2","2","0","0","0","7","25","3.6","9","2.8"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001832","금일동초등학교","02","공립","N","","1","9","9","1","6","6","1","9","9","1","9","9","1","7","7","1","10","10","0","0","0","0","0","0","6","50","8.3","7","7.1"
