"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001069","봉동초등학교","02","공립","N","","3","44","14.7","4","67","16.8","4","63","15.8","4","80","20","3","73","24.3","3","66","22","1","6","6","0","0","0","22","399","18.1","27","14.8"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001070","봉동초등학교양화분교장","02","공립","N","","1","7","7","1","2","2","1","9","9","1","3","3","1","7","7","1","3","3","0","0","0","0","0","0","6","31","5.2","7","4.4"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001071","봉서초등학교","02","공립","N","","4","78","19.5","5","87","17.4","6","105","17.5","5","120","24","5","113","22.6","6","136","22.7","1","6","6","0","0","0","32","645","20.2","38","17"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001072","봉성초등학교","02","공립","N","","1","6","6","1","8","8","1","7","7","1","9","9","1","10","10","1","13","13","0","0","0","0","0","0","6","53","8.8","7","7.6"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001073","비봉초등학교","02","공립","N","","1","6","6","1","9","9","1","5","5","1","8","8","1","11","11","1","18","18","0","0","0","0","0","0","6","57","9.5","7","8.1"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001075","삼례동초등학교","02","공립","N","","7","120","17.1","7","133","19","7","120","17.1","6","132","22","5","111","22.2","4","82","20.5","2","9","4.5","0","0","0","38","707","18.6","47","15"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001076","삼례중앙초등학교","02","공립","N","","2","26","13","2","19","9.5","1","16","16","2","25","12.5","2","30","15","2","28","14","2","8","4","0","0","0","13","152","11.7","16","9.5"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001077","삼례초등학교","02","공립","N","","2","21","10.5","2","25","12.5","2","31","15.5","2","27","13.5","2","32","16","2","28","14","2","7","3.5","0","0","0","14","171","12.2","16","10.7"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001078","상관초등학교","02","공립","N","","1","16","16","1","20","20","2","20","10","1","18","18","1","20","20","2","29","14.5","1","3","3","0","0","0","9","126","14","12","10.5"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001079","소양서초등학교","02","공립","N","","1","5","5","1","10","10","1","6","6","1","9","9","1","8","8","1","9","9","1","5","5","0","0","0","7","52","7.4","8","6.5"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001080","소양초등학교","02","공립","N","","1","5","5","1","2","2","1","12","12","1","8","8","1","7","7","1","12","12","1","2","2","0","0","0","7","48","6.9","8","6"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001081","송광초등학교","02","공립","N","","0","0","0","1","8","8","0","0","0","1","6","6","1","4","4","1","8","8","1","2","2","0","0","0","5","28","5.6","9","3.1"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001082","용봉초등학교","02","공립","N","","2","27","13.5","3","44","14.7","2","31","15.5","2","36","18","2","40","20","2","38","19","1","6","6","0","0","0","14","222","15.9","16","13.9"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001083","용진초등학교","02","공립","N","","1","5","5","1","4","4","1","11","11","1","9","9","1","8","8","1","12","12","0","0","0","0","0","0","6","49","8.2","7","7"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001084","운주초등학교","02","공립","N","","1","2","2","1","4","4","1","1","1","1","3","3","1","1","1","1","6","6","0","0","0","0","0","0","6","17","2.8","7","2.4"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001086","이서초등학교","02","공립","N","","2","40","20","3","52","17.3","4","64","16","3","63","21","3","70","23.3","3","61","20.3","1","3","3","0","0","0","19","353","18.6","24","14.7"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001087","이성초등학교","02","공립","N","","1","8","8","1","5","5","1","7","7","1","9","9","1","4","4","1","8","8","1","1","1","0","0","0","7","42","6","8","5.3"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001088","청명초등학교","02","공립","N","","1","4","4","0","0","0","1","7","7","0","0","0","1","6","6","1","5","5","1","2","2","0","0","0","5","24","4.8","9","2.7"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001089","청완초등학교","02","공립","N","","3","40","13.3","2","36","18","3","53","17.7","3","57","19","2","48","24","3","65","21.7","1","6","6","0","0","0","17","305","17.9","20","15.3"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001090","태봉초등학교","02","공립","N","","1","7","7","1","8","8","1","8","8","1","9","9","1","8","8","1","8","8","1","4","4","0","0","0","7","52","7.4","8","6.5"
"전북특별자치도교육청","전북특별자치도완주교육지원청","전북특별자치도 완주군","S130001091","화산초등학교","02","공립","N","","1","5","5","1","7","7","1","9","9","1","16","16","1","20","20","2","33","16.5","1","1","1","0","0","0","8","91","11.4","8","11.4"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001151","금마초등학교","02","공립","N","","2","27","13.5","1","17","17","2","29","14.5","1","21","21","2","31","15.5","1","19","19","1","1","1","0","0","0","10","145","14.5","13","11.2"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001153","낭산초등학교","02","공립","N","","0","0","0","1","5","5","1","3","3","1","4","4","1","3","3","1","3","3","0","0","0","0","0","0","5","18","3.6","6","3"
"전북특별자치도교육청","전북특별자치도익산교육지원청","전북특별자치도 익산시","S130001154","다송초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","1","8","8","0","0","0","0","0","0","2","13","6.5","3","4.3"
